Número de documentos del corpus:3303
Número de palabras del corpus:48151
Palabra:animatronic  Frec:2  LogProb:-10.25199422680701
Palabra:anime  Frec:2  LogProb:-10.25199422680701
Palabra:anna  Frec:4  LogProb:-9.558847046247065
Palabra:annd  Frec:2  LogProb:-10.25199422680701
Palabra:annoying  Frec:7  LogProb:-8.999231258311642
Palabra:annoys  Frec:2  LogProb:-10.25199422680701
Palabra:anonamis  Frec:2  LogProb:-10.25199422680701
Palabra:Anonymous  Frec:3  LogProb:-9.846529118698847
Palabra:ANONYMUS  Frec:2  LogProb:-10.25199422680701
Palabra:another  Frec:4  LogProb:-9.558847046247065
Palabra:answer  Frec:2  LogProb:-10.25199422680701
Palabra:answered  Frec:2  LogProb:-10.25199422680701
Palabra:anthem  Frec:3  LogProb:-9.846529118698847
Palabra:anti  Frec:3  LogProb:-9.846529118698847
Palabra:antibiotics  Frec:2  LogProb:-10.25199422680701
Palabra:antlers  Frec:2  LogProb:-10.25199422680701
Palabra:Antrel  Frec:2  LogProb:-10.25199422680701
Palabra:antsy  Frec:3  LogProb:-9.846529118698847
Palabra:Any  Frec:26  LogProb:-7.687044869345473
Palabra:anybody  Frec:3  LogProb:-9.846529118698847
Palabra:anymore  Frec:2  LogProb:-10.25199422680701
Palabra:anyone  Frec:2  LogProb:-10.25199422680701
Palabra:anyone's  Frec:3  LogProb:-9.846529118698847
Palabra:ANYTHING  Frec:20  LogProb:-7.949409133812964
Palabra:anytime  Frec:3  LogProb:-9.846529118698847
Palabra:anyway  Frec:13  LogProb:-8.38019204990542
Palabra:anyways  Frec:7  LogProb:-8.999231258311642
Palabra:anywhere  Frec:3  LogProb:-9.846529118698847
Palabra:ap  Frec:2  LogProb:-10.25199422680701
Palabra:Apache  Frec:3  LogProb:-9.846529118698847
Palabra:apart  Frec:2  LogProb:-10.25199422680701
Palabra:apartment  Frec:2  LogProb:-10.25199422680701
Palabra:API  Frec:2  LogProb:-10.25199422680701
Palabra:apologize  Frec:2  LogProb:-10.25199422680701
Palabra:apologizing  Frec:3  LogProb:-9.846529118698847
Palabra:app  Frec:3  LogProb:-9.846529118698847
Palabra:apparel  Frec:2  LogProb:-10.25199422680701
Palabra:apparently  Frec:4  LogProb:-9.558847046247065
Palabra:appear  Frec:2  LogProb:-10.25199422680701
Palabra:appearance  Frec:4  LogProb:-9.558847046247065
Palabra:apple  Frec:3  LogProb:-9.846529118698847
Palabra:applied  Frec:2  LogProb:-10.25199422680701
Palabra:apply  Frec:2  LogProb:-10.25199422680701
Palabra:appointment  Frec:2  LogProb:-10.25199422680701
Palabra:appropriate  Frec:3  LogProb:-9.846529118698847
Palabra:apps  Frec:4  LogProb:-9.558847046247065
Palabra:April  Frec:2  LogProb:-10.25199422680701
Palabra:apt  Frec:2  LogProb:-10.25199422680701
Palabra:AQUARIUM  Frec:2  LogProb:-10.25199422680701
Palabra:arabs  Frec:2  LogProb:-10.25199422680701
Palabra:archive  Frec:2  LogProb:-10.25199422680701
Palabra:Are  Frec:10  LogProb:-8.642556314372909
Palabra:area  Frec:4  LogProb:-9.558847046247065
Palabra:aree  Frec:2  LogProb:-10.25199422680701
Palabra:aren't  Frec:7  LogProb:-8.999231258311642
Palabra:arent  Frec:2  LogProb:-10.25199422680701
Palabra:Argh  Frec:5  LogProb:-9.335703494932854
Palabra:argue  Frec:3  LogProb:-9.846529118698847
Palabra:arguing  Frec:2  LogProb:-10.25199422680701
