Número de documentos del corpus:122425
Número de palabras del corpus:18437
Palabra:*wearr  Frec:2  LogProb:-11.162395885255101
Palabra:*whistling  Frec:2  LogProb:-11.162395885255101
Palabra:*wink  Frec:2  LogProb:-11.162395885255101
Palabra:*wink*  Frec:1  LogProb:-11.855543065815047
Palabra:*yawn*  Frec:2  LogProb:-11.162395885255101
Palabra:*you're*  Frec:2  LogProb:-11.162395885255101
Palabra:*you*  Frec:3  LogProb:-10.756930777146938
Palabra:*ywan*  Frec:2  LogProb:-11.162395885255101
Palabra:*z  Frec:1  LogProb:-11.855543065815047
Palabra:+  Frec:28  LogProb:-8.523338555639842
Palabra:+$  Frec:2  LogProb:-11.162395885255101
Palabra:+0  Frec:2  LogProb:-11.162395885255101
Palabra:+1  Frec:2  LogProb:-11.162395885255101
Palabra:+2  Frec:2  LogProb:-11.162395885255101
Palabra:+_+  Frec:1  LogProb:-11.855543065815047
Palabra:+H  Frec:3  LogProb:-10.756930777146938
Palabra:+hrobb  Frec:2  LogProb:-11.162395885255101
Palabra:+prior  Frec:2  LogProb:-11.162395885255101
Palabra:-  Frec:9  LogProb:-9.658318488478828
Palabra:-(  Frec:13  LogProb:-9.29059370835351
Palabra:-)  Frec:53  LogProb:-7.885251152262925
Palabra:--  Frec:14  LogProb:-9.216485736199788
Palabra:---  Frec:6  LogProb:-10.063783596586992
Palabra:--I'm  Frec:2  LogProb:-11.162395885255101
Palabra:--Sam  Frec:2  LogProb:-11.162395885255101
Palabra:--well  Frec:1  LogProb:-11.855543065815047
Palabra:-/  Frec:1  LogProb:-11.855543065815047
Palabra:-0  Frec:2  LogProb:-11.162395885255101
Palabra:-1  Frec:2  LogProb:-11.162395885255101
Palabra:-10  Frec:2  LogProb:-11.162395885255101
Palabra:-5  Frec:2  LogProb:-11.162395885255101
Palabra:-6  Frec:1  LogProb:-11.855543065815047
Palabra:->>  Frec:2  LogProb:-11.162395885255101
Palabra:-_-  Frec:5  LogProb:-10.246105153380947
Palabra:-_-'  Frec:2  LogProb:-11.162395885255101
Palabra:-__-  Frec:2  LogProb:-11.162395885255101
Palabra:-_O  Frec:1  LogProb:-11.855543065815047
Palabra:-AkA-  Frec:2  LogProb:-11.162395885255101
Palabra:-ChloroformGRL  Frec:2  LogProb:-11.162395885255101
Palabra:-D  Frec:2  LogProb:-11.162395885255101
Palabra:-dakota  Frec:2  LogProb:-11.162395885255101
Palabra:-Haa  Frec:2  LogProb:-11.162395885255101
Palabra:-Hellz  Frec:2  LogProb:-11.162395885255101
Palabra:-jack-ass  Frec:2  LogProb:-11.162395885255101
Palabra:-KayCee  Frec:3  LogProb:-10.756930777146938
Palabra:-Kinly  Frec:2  LogProb:-11.162395885255101
Palabra:-NOT-  Frec:2  LogProb:-11.162395885255101
